id,paragraph_id,source_id
169,104895,61
170,104896,58
171,104896,61
172,104897,62
173,104899,58
174,104900,61
175,104900,62
176,104901,61
177,104902,61
178,104902,62
179,104904,58
180,104905,58
181,104905,62
182,104906,58
183,104908,58
184,104908,62
185,104913,68
186,104915,66
187,104917,71
188,104918,63
189,104918,69
190,104920,64
191,104920,69
192,104921,63
193,104921,69
194,104922,64
195,104923,65
196,104924,65
197,104924,67
198,104925,67
199,104926,64
200,104927,70
201,104929,83
202,104929,84
203,104930,72
204,104930,78
205,104930,83
206,104931,83
207,104932,84
208,104933,84
209,104935,75
210,104935,84
211,104936,83
212,104937,83
213,104937,84
214,104938,73
215,104938,83
216,104938,84
217,104939,73
218,104940,73
219,104940,75
220,104941,79
221,104941,84
222,104942,79
223,104943,75
224,104943,81
225,104944,76
226,104944,77
227,104944,80
228,104944,81
229,104944,82
230,104946,74
231,104946,83
232,104954,85
233,104957,86
234,104958,86
235,104958,87
236,104960,88
237,104962,90
238,104963,90
239,104964,81
240,104964,90
241,104965,76
242,104965,77
243,104965,80
244,104965,81
245,104965,82
246,104965,90
247,104966,90
248,104967,83
249,104967,89
250,104967,90
251,104968,90
252,104969,83
253,104969,90
254,104970,75
255,104970,83
256,104970,90
257,104971,90
258,104971,91
259,104972,83
260,104972,89
261,104972,90
262,104973,75
263,104973,90
264,104974,72
265,104974,90
266,104975,90
267,104975,91
268,104976,73
269,104976,90
270,104977,89
271,104977,90
272,104978,90
273,104979,74
274,104979,90
275,104980,93
276,104980,95
277,104983,93
278,104989,92
279,104991,94
280,104993,94
281,104996,93
282,104998,83
283,104998,90
284,104999,83
285,104999,90
286,105000,78
287,105000,83
288,105001,83
289,105001,89
290,105002,83
291,105003,91
292,105004,90
293,105004,91
294,105005,83
295,105006,83
296,105007,75
297,105007,89
298,105008,83
299,105008,98
300,105009,83
301,105009,98
302,105010,89
303,105011,89
304,105013,75
305,105014,97
306,105018,76
307,105018,77
308,105018,80
309,105018,81
310,105018,82
311,105019,83
312,105019,97
313,105020,90
314,105020,96
315,105022,90
316,105023,100
317,105025,101
318,105026,101
319,105030,101
320,105031,100
321,105031,101
322,105033,101
323,105034,100
324,105035,99
325,105036,99
326,105037,99
327,105037,100
328,105038,99
329,105043,102
330,105044,106
331,105045,105
332,105047,102
333,105048,102
334,105049,102
335,105052,102
336,105054,102
337,105055,102
338,105055,104
339,105056,102
340,105056,103
341,105057,105
342,105057,107
343,105058,105
344,105058,107
345,105059,107
346,105060,107
347,105061,102
348,105061,106
349,105078,90
350,105079,79
351,105079,90
352,105080,90
353,105081,76
354,105081,77
355,105081,80
356,105081,81
357,105081,82
358,105081,90
359,105082,90
360,105083,90
361,105084,81
362,105084,90
363,105085,90
364,105085,96
365,105086,90
366,105087,90
367,105088,90
368,105088,97
369,105089,90
370,105089,97
371,105090,90
372,105091,115
373,105094,115
374,105094,120
375,105095,115
376,105095,118
377,105096,115
378,105096,118
379,105096,120
380,105098,115
381,105100,117
382,105102,116
383,105102,119
384,105102,121
385,105103,115
386,105105,118
387,105105,120
388,105106,120
389,105107,120
390,105108,120
391,105109,120
392,105110,120
393,105111,90
394,105112,79
395,105112,90
396,105113,79
397,105113,90
398,105114,90
399,105115,90
400,105116,90
401,105117,76
402,105117,77
403,105117,80
404,105117,81
405,105117,82
406,105117,90
407,105118,90
408,105118,97
409,105119,90
410,105119,93
411,105120,82
412,105120,90
413,105120,93
414,105121,82
415,105121,90
416,105122,90
417,105122,93
418,105123,90
419,105124,90
420,105124,93
421,105125,90
422,105126,83
423,105126,90
424,105126,97
425,105127,90
426,105128,124
427,105128,125
428,105130,124
429,105131,125
430,105131,127
431,105133,125
432,105133,130
433,105134,128
434,105134,130
435,105134,131
436,105136,130
437,105137,130
438,105138,125
439,105138,130
440,105139,130
441,105140,130
442,105141,123
443,105141,127
444,105141,129
445,105142,129
446,105144,123
447,105147,125
448,105148,122
449,105148,127
450,105149,125
451,105150,126
452,105151,125
453,105151,126
454,105152,127
455,105153,125
456,105154,125
457,105155,125
458,105156,125
459,105156,130
460,105157,130
461,105158,125
462,105158,130
463,105159,127
464,105159,130
465,105163,63
466,105164,63
467,105164,132
468,105166,63
469,105167,132
470,105168,132
471,105169,69
472,105170,63
473,105170,132
474,105172,63
475,105172,69
476,105172,132
477,105173,133
478,105174,133
479,105175,133
480,105176,110
481,105176,133
482,105177,109
483,105177,133
484,105178,133
485,105179,133
486,105180,133
487,105180,135
488,105181,109
489,105181,133
490,105182,43
491,105182,109
492,105182,133
493,105183,109
494,105183,133
495,105184,43
496,105184,133
497,105185,133
498,105186,133
499,105187,109
500,105187,133
501,105188,133
502,105189,133
503,105190,109
504,105190,133
505,105190,134
506,105192,85
507,105197,86
508,105199,155
509,105200,141
510,105201,85
511,105201,86
512,105201,136
513,105202,85
514,105202,150
515,105203,85
516,105204,85
517,105204,145
518,105206,85
519,105206,143
520,105206,145
521,105206,151
522,105206,155
523,105207,87
524,105208,146
525,105208,148
526,105208,149
527,105209,140
528,105210,87
529,105211,86
530,105211,87
531,105212,138
532,105212,139
533,105212,147
534,105212,153
535,105213,86
536,105214,86
537,105215,86
538,105215,87
539,105217,145
540,105218,145
541,105219,145
542,105220,145
543,105223,86
544,105224,87
545,105225,86
546,105226,144
547,105227,144
548,105228,144
549,105228,152
550,105229,93
551,105229,142
552,105229,154
553,105230,152
554,105231,152
555,105232,137
556,105236,156
557,105237,156
558,105238,156
559,105238,157
560,105238,158
561,105239,156
562,105239,157
563,105239,158
564,105239,159
565,105240,156
566,105241,156
567,105242,156
568,105243,156
569,105244,156
570,105244,160
571,105245,160
572,105246,160
573,105249,161
574,105251,162
575,105254,162
576,105255,161
577,105256,166
578,105257,166
579,105258,166
580,105259,166
581,105260,166
582,105261,166
583,105262,166
584,105263,166
585,105264,164
586,105264,166
587,105265,164
588,105265,166
589,105266,164
590,105266,166
591,105267,164
592,105267,166
593,105268,164
594,105268,166
595,105269,163
596,105269,166
597,105270,163
598,105270,166
599,105271,163
600,105271,166
601,105272,166
602,105273,165
603,105273,166
604,105274,165
605,105274,166
606,105275,169
607,105276,169
608,105278,170
609,105280,171
610,105282,19
611,105283,19
612,105283,169
613,105284,19
614,105284,169
615,105286,170
616,105287,170
617,105288,170
618,105289,168
619,105289,169
620,105291,169
621,105291,172
622,105292,172
623,105293,169
624,105293,170
625,105294,169
626,105295,170
627,105296,170
628,105298,170
629,105299,171
630,105302,167
631,105303,167
632,105304,90
633,105305,90
634,105306,90
635,105307,90
636,105308,90
637,105309,90
638,105310,77
639,105310,80
640,105310,81
641,105310,82
642,105310,90
643,105310,173
644,105311,90
645,105312,76
646,105312,77
647,105312,82
648,105312,90
649,105313,90
650,105314,90
651,105315,77
652,105315,90
653,105315,174
654,105315,175
655,105316,90
656,105316,175
657,105317,77
658,105317,90
659,105317,175
660,105318,90
661,105318,175
662,105319,90
663,105320,90
664,105320,97
665,105321,90
666,105321,97
667,105322,90
668,105322,97
669,105323,83
670,105323,90
671,105324,90
672,105324,97
673,105325,79
674,105325,90
675,105326,79
676,105326,90
677,105327,79
678,105327,90
679,105328,90
680,105337,77
681,105337,80
682,105337,81
683,105337,82
684,105337,173
685,105339,76
686,105339,77
687,105339,82
688,105341,77
689,105341,174
690,105341,175
691,105342,175
692,105343,82
693,105343,175
694,105344,175
695,105347,97
696,105348,97
697,105349,90
698,105349,97
699,105350,83
700,105350,90
701,105351,90
702,105351,97
703,105352,96
704,105354,83
705,105354,97
706,105355,83
707,105355,97
708,105357,97
709,105358,97
710,105359,97
711,105360,83
712,105361,97
713,105361,176
714,105362,97
715,105362,176
716,105363,83
717,105363,177
718,105364,179
719,105365,110
720,105365,114
721,105366,93
722,105366,114
723,105367,114
724,105368,110
725,105368,114
726,105369,114
727,105372,178
728,105373,114
729,105375,114
730,105376,114
731,105379,183
732,105379,186
733,105380,183
734,105381,191
735,105382,189
736,105382,191
737,105384,190
738,105386,187
739,105387,182
740,105388,188
741,105388,189
742,105389,188
743,105390,188
744,105390,189
745,105391,181
746,105392,189
747,105393,185
748,105393,189
749,105394,180
750,105395,180
751,105395,181
752,105395,185
753,105396,191
754,105397,191
755,105398,191
756,105399,191
757,105400,184
758,105400,191
759,105401,185
760,105405,193
761,105407,193
762,105409,192
763,105409,193
764,105413,192
765,105413,193
766,105418,195
767,105420,196
768,105421,196
769,105423,194
770,105426,172
771,105428,197
772,105431,93
773,105431,177
774,105432,177
775,105433,97
776,105433,177
777,105434,93
778,105434,97
779,105435,177
780,105436,177
781,105437,177
782,105438,93
783,105439,177
784,105440,97
785,105442,97
786,105443,198
787,105444,93
788,105444,198
789,105445,93
790,105446,93
791,105062,108
792,105062,110
793,105062,111
794,105062,114
795,105063,93
796,105063,110
797,105063,114
798,105064,110
799,105064,114
800,105065,110
801,105065,114
802,105066,108
803,105066,110
804,105066,114
805,105067,108
806,105067,110
807,105067,114
808,105068,108
809,105068,110
810,105068,114
811,105069,112
812,105069,114
813,105070,108
814,105070,110
815,105070,111
816,105070,113
817,105070,114
818,105071,110
819,105071,114
820,105072,108
821,105072,110
822,105072,114
823,105074,93
824,105074,114
825,105075,109
826,105075,114
827,105463,203
828,105464,203
829,105465,200
830,105467,203
831,105469,203
832,105470,203
833,105471,203
834,105471,204
835,105478,202
836,105479,199
837,105480,201
838,105480,203
839,105481,201
840,105481,203
841,105482,201
